enzyme,state,seed,mode,vina_score,family,protein_pairs_lt_1p8,protein_pairs_1p8_2p2,sam_min_distance_a,sam_pairs_lt_2,sam_pairs_2_2p5,strain_kcal_mol,burial_reduction_percent,physical_pass
7B,neutral,483271,10,-7.228,3,0,0,3.801620443968599,0,0,36.33184638887399,63.919107127984546,False
7B,neutral,483271,11,-7.145,7,0,0,11.426559937268959,0,0,35.473037343171605,54.61822748839829,False
7B,neutral,483271,12,-7.105,1,0,0,3.4114369406453937,0,0,31.406720853315626,62.35764614004232,False
7B,neutral,483271,13,-7.097,5,0,0,3.792121701633533,0,0,22.70471193412846,58.658452511448054,False
7B,neutral,483271,14,-7.039,9,0,0,6.97319689955762,0,0,24.565392839245852,58.39818008068545,False
7B,neutral,483271,15,-7.01,10,0,0,3.817360606492398,0,0,35.76208852844348,58.04719797170586,False
7B,neutral,483271,16,-6.994,12,0,0,3.4684627718918946,0,0,34.7501361991721,56.14848446932401,False
7B,neutral,483271,17,-6.95,7,0,0,11.944329784462584,0,0,32.202560317294235,53.873934092710755,False
7B,neutral,483271,18,-6.889,6,0,0,7.2729238962057075,0,0,37.43838856908878,51.15277372034566,False
7B,neutral,483271,19,-6.844,13,0,0,7.006054738581479,0,0,15.698955213562165,55.2525448657115,False
7B,neutral,483271,20,-6.731,17,0,0,12.388623733086739,0,0,27.819149186041052,49.087483712509176,False
7B,neutral,806519,1,-7.551,1,0,0,3.2841711283061974,0,0,28.944398433831232,61.92332154371832,False
7B,neutral,806519,2,-7.416,4,0,0,3.4831022092381962,0,0,34.754242188461056,62.117673911046325,False
7B,neutral,806519,3,-7.367,2,0,0,3.210606329028834,0,0,39.49554584731376,63.33310164210676,False
7B,neutral,806519,4,-7.351,2,0,0,3.425341734776255,0,0,36.807127031826674,62.835812849600906,False
7B,neutral,806519,5,-7.334,8,0,0,6.512080619894076,0,0,23.514544954902057,61.7266958283966,False
7B,neutral,806519,6,-7.288,4,0,0,3.630685059324204,0,0,32.99642839381064,60.12982729841206,False
7B,neutral,806519,7,-7.286,6,0,0,7.966419208151175,0,0,32.144507042708604,53.36922719905989,False
7B,neutral,806519,8,-7.259,3,0,0,3.7373394279888466,0,0,28.808962416796838,63.82844589536949,False
7B,neutral,806519,9,-7.224,3,0,0,3.7054354669863034,0,0,36.10597152702484,64.55795739718202,False
7B,neutral,806519,10,-7.193,5,0,0,3.8710082665889516,0,0,14.291277184799021,61.35474185958369,True
7B,neutral,806519,11,-7.06,6,0,0,7.240382310347983,0,0,29.43023188488582,53.915750801902284,False
7B,neutral,806519,12,-7.053,9,0,0,6.828850415699557,0,0,25.454798827698063,60.07540728680722,False
7B,neutral,806519,13,-6.95,5,0,0,3.686548656941883,0,0,25.138470965360902,57.95859519785882,False
7B,neutral,806519,14,-6.887,7,0,0,11.960374701488243,0,0,34.15910972592783,53.842328897247924,False
7B,neutral,806519,15,-6.823,13,0,0,7.1542532105035255,0,0,16.726170424564494,55.421764057358565,False
7B,neutral,806519,16,-6.689,10,0,0,3.729499430218485,0,0,39.021528688916256,57.508383159880836,False
7B,neutral,806519,17,-6.649,18,0,0,7.253498259460742,0,0,39.80369489183176,50.13406666589624,False
7B,neutral,806519,18,-6.643,19,0,0,11.453934607810542,0,0,26.461414732730965,50.036842129811156,False
7B,neutral,806519,19,-6.576,20,0,0,6.980069125732209,0,0,28.00527184254961,52.13631606687716,False
7B,neutral,806519,20,-6.492,21,0,0,11.326993820074238,0,0,34.7558241119958,50.06030779729729,False
7B,monocation,172904,1,-7.448,1,0,0,3.3463511471452003,0,0,35.870171581818205,61.22257572204888,False
7B,monocation,172904,2,-7.358,2,0,0,3.267710666506446,0,0,40.24900249042352,63.1082214339275,False
7B,monocation,172904,3,-7.345,6,0,0,6.881559852242804,0,0,33.106511375831545,61.07551019165962,False
7B,monocation,172904,4,-7.292,3,0,0,3.5960526970554807,0,0,37.25706575890981,61.29891846430643,False
7B,monocation,172904,5,-7.24,1,0,0,3.2159356336842317,0,0,35.388149368583356,62.83675724728496,False
7B,monocation,172904,6,-7.216,1,0,0,3.758274338043991,0,0,23.949472905433907,61.12983409950021,False
7B,monocation,172904,7,-7.205,3,0,0,3.650284646435124,0,0,35.707138493285804,60.673331129503396,False
7B,monocation,172904,8,-7.094,7,0,0,7.209350733595918,0,0,31.26087769087409,60.69867026834333,False
7B,monocation,172904,9,-7.011,4,0,0,3.8136359291363937,0,0,39.21385585113007,63.49481512117426,False
7B,monocation,172904,10,-6.921,14,0,0,3.278533361123537,0,0,46.04366560948936,58.63455068394051,False
7B,monocation,172904,11,-6.9,10,0,0,10.742414905411167,0,0,28.3989234854291,54.25921583111139,False
7B,monocation,172904,12,-6.873,1,0,0,3.6180538967793163,0,0,31.89810751342231,59.144112272968776,False
7B,monocation,172904,13,-6.842,5,0,0,7.6843392689287215,0,0,27.035539199215748,53.50862621618367,False
7B,monocation,172904,14,-6.826,8,0,0,3.498925120662059,0,0,36.466876508335375,58.065154960320186,False
7B,monocation,172904,15,-6.826,4,0,0,3.746072877027354,0,0,30.785175679146633,63.033472494872896,False
7B,monocation,172904,16,-6.818,9,0,0,12.044975591507024,0,0,38.37059537806516,53.00738580613309,False
7B,monocation,172904,17,-6.792,11,0,0,7.121653249070752,0,0,29.07854994537867,56.08980187105538,False
7B,monocation,172904,18,-6.714,15,0,0,3.4579836610371655,0,0,28.147869577190704,62.53019505265378,False
7B,monocation,172904,19,-6.665,12,0,0,3.2704875783283454,0,0,34.23678023404379,57.534488851409385,False
7B,monocation,172904,20,-6.623,8,0,0,3.9461092230195565,0,0,41.365183951069724,56.52793922388794,False
7B,monocation,483271,1,-7.459,1,0,0,3.3501408925595952,0,0,38.375359920111364,61.741207715634516,False
7B,monocation,483271,2,-7.394,1,0,0,3.381925782745683,0,0,35.48115754066848,61.46486459488641,False
7B,monocation,483271,3,-7.343,2,0,0,3.2789280260475375,0,0,40.75832190895027,63.205972723585376,False
7B,monocation,483271,4,-7.335,6,0,0,4.612180937474157,0,0,34.62386316187764,60.902904762378846,False
7B,monocation,483271,5,-7.254,3,0,0,4.295118508260279,0,0,42.22546916612369,59.055149742177306,False
